"Search Terms","Committee on Foreign relations"
"Total Count","36336"
"index","collection","packageId","granuleId","title","detailsLink","pdfLink","htmlLink","xmlLink","otherLink1","otherLink2","teaser","historical","publishdate"
"149","Congressional Committee Prints","CPRT-116SPRT44530","CPRT-116SPRT44530-Errata","ERRATA]","https://www.govinfo.gov/app/details/CPRT-116SPRT44530/CPRT-116SPRT44530-Errata","https://www.govinfo.gov/content/pkg/CPRT-116SPRT44530/pdf/CPRT-116SPRT44530-Errata.pdf","https://www.govinfo.gov/content/pkg/CPRT-116SPRT44530/html/CPRT-116SPRT44530-Errata.htm","","",""," AWARD AND JESSIKKA ARO A MINORITY STAFF REPORT PREPARED FOR THE USE OF THE COMMITTEE ON FOREIGN RELATIONS UNITED STATES SENATE ONE HUNDRED SIXTEENTH CONGRESS SECOND SESSION March 20, 2019 [GRAPHIC(S) NOT AVAILABLE IN TIFF FORMAT] Printed for the use of the Committee on Foreign Relations Available via the World Wide Web: http://www.govinfo.gov...","","2019-03-20"
"150","Congressional Committee Prints","CPRT-115SPRT28110","CPRT-115SPRT28110","PUTIN'S ASYMMETRIC ASSAULT ON DEMOCRACY IN RUSSIA AND EUROPE: IMPLICATIONS FOR U.S. NATIONAL SECURITY","https://www.govinfo.gov/app/details/CPRT-115SPRT28110/CPRT-115SPRT28110","https://www.govinfo.gov/content/pkg/CPRT-115SPRT28110/pdf/CPRT-115SPRT28110.pdf","https://www.govinfo.gov/content/pkg/CPRT-115SPRT28110/html/CPRT-115SPRT28110.htm","","","","NATIONAL SECURITY A MINORITY STAFF REPORT PREPARED FOR THE USE OF THE COMMITTEE ON FOREIGN RELATIONS UNITED STATES SENATE One Hundred Fifteenth Congress Second Session January 10, 2018 [GRAPHIC NOT AVAILABLE IN TIFF FORMAT] Available via the World Wide Web: http://www.fdsys.gov U.S. GOVERNMENT PUBLISHING OFFICE 28-110 PDF WASHINGTON : 2017 For sale...","","2018-01-10"
"151","Congressional Committee Prints","CPRT-112SPRT74912","CPRT-112SPRT74912","JUDICIAL AND POLICE REFORMS IN MEXICO: ESSENTIAL BUILDING BLOCKS FOR A LAWFUL SOCIETY","https://www.govinfo.gov/app/details/CPRT-112SPRT74912/CPRT-112SPRT74912","https://www.govinfo.gov/content/pkg/CPRT-112SPRT74912/pdf/CPRT-112SPRT74912.pdf","https://www.govinfo.gov/content/pkg/CPRT-112SPRT74912/html/CPRT-112SPRT74912.htm","","",""," STAFF REPORT PREPARED FOR THE USE OF THE COMMITTEE ON FOREIGN RELATIONS UNITED STATES SENATE One Hundred Twelfth Congress Second Session July 9, 2012 [GRAPHIC(S) NOT AVAILABLE IN TIFF FORMAT] Printed for the use of the Committee on Foreign Relations Available via World Wide Web: http//www.gpo.gov/fdsys/ U.S. GOVERNMENT PRINTING OFFICE 74-912 ...","","2012-07-09"
"152","Congressional Committee Prints","CPRT-112SPRT63345","CPRT-112SPRT63345","WILL RUSSIA END EASTERN EUROPE'S LAST FROZEN CONFLICT?","https://www.govinfo.gov/app/details/CPRT-112SPRT63345/CPRT-112SPRT63345","https://www.govinfo.gov/content/pkg/CPRT-112SPRT63345/pdf/CPRT-112SPRT63345.pdf","https://www.govinfo.gov/content/pkg/CPRT-112SPRT63345/html/CPRT-112SPRT63345.htm","","",""," ON FOREIGN RELATIONS UNITED STATES SENATE One Hundred Twelfth Congress First Session February 8, 2011 U.S. GOVERNMENT PRINTING OFFICE 63-345 WASHINGTON : 2011 For sale by the Superintendent of Documents, U.S. Government Printing Office Internet: bookstore.gpo.gov Phone: toll free (866) 512-1800; DC area (202) 512-1800 Fax: (202) 512-2104 Mail: ...","","2011-02-08"
"153","Congressional Committee Prints","CPRT-112SPRT64142","CPRT-112SPRT64142","LOSING JOBS AND ALIENATING FRIENDS: THE CONSEQUENCES OF FALLING BEHIND ON FREE TRADE WITH COLOMBIA AND PANAMA","https://www.govinfo.gov/app/details/CPRT-112SPRT64142/CPRT-112SPRT64142","https://www.govinfo.gov/content/pkg/CPRT-112SPRT64142/pdf/CPRT-112SPRT64142.pdf","https://www.govinfo.gov/content/pkg/CPRT-112SPRT64142/html/CPRT-112SPRT64142.htm","","",""," WITH COLOMBIA AND PANAMA A REPORT TO THE MEMBERS OF THE COMMITTEE ON FOREIGN RELATIONS UNITED STATES SENATE One Hundred Twelfth Congress First Session February 8, 2011 ? COMMITTEE ON FOREIGN RELATIONS JOHN F. KERRY, Massachusetts, Chairman BARBARA BOXER, California RICHARD G. LUGAR, Indiana ROBERT MENENDEZ, New Jersey BOB CORKER, Tennessee ...","","2011-02-08"
"154","Congressional Committee Prints","CPRT-111SPRT56884","CPRT-111SPRT56884","HAITI: NO LEADERSHIP--NO ELECTIONS","https://www.govinfo.gov/app/details/CPRT-111SPRT56884/CPRT-111SPRT56884","https://www.govinfo.gov/content/pkg/CPRT-111SPRT56884/pdf/CPRT-111SPRT56884.pdf","https://www.govinfo.gov/content/pkg/CPRT-111SPRT56884/html/CPRT-111SPRT56884.htm","","",""," UNITED STATES SENATE One Hundred Eleventh Congress Second Session JUNE 10, 2010 U.S. GOVERNMENT PRINTING OFFICE 56-884 WASHINGTON : 2009 For sale by the Superintendent of Documents, U.S. Government Printing Office Internet: bookstore.gpo.gov Phone: toll free (866) 512-1800; DC area (202) 512-1800 Fax: (202) 512-2104 Mail: Stop IDCC, Washington...","","2010-06-10"
"155","Congressional Committee Prints","CPRT-111SPRT56883","CPRT-111SPRT56883","U.S. INTERNATIONAL BROADCASTING: --IS ANYBODY LISTENING?-- KEEPING THE U.S. CONNECTED","https://www.govinfo.gov/app/details/CPRT-111SPRT56883/CPRT-111SPRT56883","https://www.govinfo.gov/content/pkg/CPRT-111SPRT56883/pdf/CPRT-111SPRT56883.pdf","https://www.govinfo.gov/content/pkg/CPRT-111SPRT56883/html/CPRT-111SPRT56883.htm","","",""," TO THE MEMBERS OF THE COMMITTEE ON FOREIGN RELATIONS UNITED STATES SENATE One Hundred Eleventh Congress Second Session JUNE 9, 2010 U.S. GOVERNMENT PRINTING OFFICE 56-883 PDF WASHINGTON : 2010 For sale by the Superintendent of Documents, U.S. Government Printing Office Internet: bookstore.gpo.gov Phone: toll free (866) 512-1800; DC area (202) ...","","2010-06-09"
"156","Congressional Committee Prints","CPRT-111SPRT51228","CPRT-111SPRT51228","MEMBERSHIP AND JURISDICTION OF SUBCOMMITTEES","https://www.govinfo.gov/app/details/CPRT-111SPRT51228/CPRT-111SPRT51228","https://www.govinfo.gov/content/pkg/CPRT-111SPRT51228/pdf/CPRT-111SPRT51228.pdf","https://www.govinfo.gov/content/pkg/CPRT-111SPRT51228/html/CPRT-111SPRT51228.htm","","",""," Fax: (202) 512�092104 Mail: Stop IDCC, Washington, DC 20402�090001 111th Congress 1st Session COMMITTEE PRINT S. Prt. 111-26 MEMBERSHIP AND JURISDICTION OF SUBCOMMITTEES COMMITTEE ON FOREIGN RELATIONS UNITED STATES SENATE Massachusetts, Chairman CHRISTOPHER J. DODD, Connecticut RUSSELL D. FEINGOLD, Wisconsin BARBARA BOXER, California ROBERT ...","","2010-01-01"
"157","Congressional Committee Prints","CPRT-110SPRT44239","CPRT-110SPRT44239","ARGENTINA: RUDDERLESS","https://www.govinfo.gov/app/details/CPRT-110SPRT44239/CPRT-110SPRT44239","https://www.govinfo.gov/content/pkg/CPRT-110SPRT44239/pdf/CPRT-110SPRT44239.pdf","https://www.govinfo.gov/content/pkg/CPRT-110SPRT44239/html/CPRT-110SPRT44239.htm","","",""," STATES SENATE One Hundred Tenth Congress Second Session September 9, 2008 [GRAPHIC(S) NOT AVAILABLE IN TIFF FORMAT] U.S. GOVERNMENT PRINTING OFFICE 44-239 PDF WASHINGTON : 2008 For sale by the Superintendent of Documents, U.S. Government Printing Office Internet: bookstore.gpo.gov Phone: toll free (866) 512-1800; DC area (202) 512-1800 Fax: (...","","2008-09-09"
"158","Congressional Committee Prints","CPRT-109SPRT31324","CPRT-109SPRT31324","EMBASSIES AS COMMAND POSTS IN THE ANTI-TERROR CAMPAIGN","https://www.govinfo.gov/app/details/CPRT-109SPRT31324/CPRT-109SPRT31324","https://www.govinfo.gov/content/pkg/CPRT-109SPRT31324/pdf/CPRT-109SPRT31324.pdf","https://www.govinfo.gov/content/pkg/CPRT-109SPRT31324/html/CPRT-109SPRT31324.htm","","","","ON FOREIGN RELATIONS UNITED STATES SENATE Richard G. Lugar, Chairman One Hundred Ninth Congress Second Session December 15, 2006 U.S. GOVERNMENT PRINTING OFFICE 31-324 WASHINGTON : 2006 For Sale by the Superintendent of Documents, U.S. Government Printing Office Internet: bookstore.gpo.gov Phone: toll free (866) 512-1800; (202) 512�091800 Fax: (202...","","2006-12-15"
"159","Congressional Committee Prints","CPRT-107SPRT70122","CPRT-107SPRT70122","PROGRESS IN THE BALKANS: KOSOVO, SERBIA, AND BOSNIA AND HERZEGOVINA","https://www.govinfo.gov/app/details/CPRT-107SPRT70122/CPRT-107SPRT70122","https://www.govinfo.gov/content/pkg/CPRT-107SPRT70122/pdf/CPRT-107SPRT70122.pdf","https://www.govinfo.gov/content/pkg/CPRT-107SPRT70122/html/CPRT-107SPRT70122.htm","","",""," R. BIDEN, JR. TO THE COMMITTEE ON FOREIGN RELATIONS UNITED STATES SENATE FEBRUARY 2001 Printed for the use of the Committee on Foreign Relations U.S. GOVERNMENT PRINTING OFFICE 70-122 CC WASHINGTON : 2001 JESSE HELMS, North Carolina, Chairman RICHARD G. LUGAR, Indiana JOSEPH R. BIDEN, Jr., Delaware CHUCK HAGEL, Nebraska PAUL S. SARBANES, ...","","2001-02-09"
"160","Congressional Committee Prints","CPRT-106SPRT70663","CPRT-106SPRT70663","HAGUE CONVENTION ON INTERNATIONAL CHILD ABDUCTION Applicable Law and Institutional Framework Within Certain Convention Countries","https://www.govinfo.gov/app/details/CPRT-106SPRT70663/CPRT-106SPRT70663","https://www.govinfo.gov/content/pkg/CPRT-106SPRT70663/pdf/CPRT-106SPRT70663.pdf","https://www.govinfo.gov/content/pkg/CPRT-106SPRT70663/html/CPRT-106SPRT70663.htm","","",""," Within Certain Convention Countries A REPORT TO THE COMMITTEE ON FOREIGN RELATIONS UNITED STATES SENATE BY THE LAW LIBRARY OF CONGRESS One Hundred Sixth Congress Second Session October 2000 CHUCK HAGEL, Nebraska JOSEPH R. BIDEN, Jr., Delaware GORDON H. SMITH, Oregon PAUL S. SARBANES, Maryland ROD GRAMS, Minnesota CHRISTOPHER J. DODD, Connecticut ...","","2000-10-01"
"161","Congressional Committee Prints","CPRT-106SPRT69353","CPRT-106SPRT69353","FORTY-FIRST MEETING OF THE CANADA-UNITED STATES INTERPARLIAMENTARY GROUP MAY 19-23, 2000","https://www.govinfo.gov/app/details/CPRT-106SPRT69353/CPRT-106SPRT69353","https://www.govinfo.gov/content/pkg/CPRT-106SPRT69353/pdf/CPRT-106SPRT69353.pdf","https://www.govinfo.gov/content/pkg/CPRT-106SPRT69353/html/CPRT-106SPRT69353.htm","","",""," OF THE CHAIRMAN TO THE SENATE DELEGATION PURSUANT TO Public Law 42, 86th Congress COMMITTEE ON FOREIGN RELATIONS JESSE HELMS, North Carolina, Chairman RICHARD G. LUGAR, Indiana JOSEPH R. BIDEN, Jr., Delaware CHUCK HAGEL, Nebraska PAUL S. SARBANES, Maryland GORDON H. SMITH, Oregon CHRISTOPHER J. DODD, Connecticut ROD GRAMS, Minnesota JOHN F. ...","","2000-01-01"
"162","Congressional Committee Prints","CPRT-87SPRT77317","CPRT-87SPRT77317","Seventh NATO Parliamentarians' Conference: report of the United States Senate Delegation to the seventh conference of members of parliament from the NATO countries, held in Paris, November 13 to November 17, 1961, pursuant to Public law 689, 84th Congress.","https://www.govinfo.gov/app/details/CPRT-87SPRT77317/CPRT-87SPRT77317","https://www.govinfo.gov/content/pkg/CPRT-87SPRT77317/pdf/CPRT-87SPRT77317.pdf","","","",""," RMAP 5 isc REPORT OF THE UNITED STATES'/SENATE DELEGATION TO THE SEVENTH CONFERENCE OF MEMBERS OF PAR­ LIAMENT FROM THE NATO COUNTRIES, HELD IN PARIS, NOVEMBER 13 TO NOVEMBER 17, 1961 PURSUANT TO Public Law 689—84th Congress 77317 Printed for the use of the Committee on Foreign Relations U.S. GOVERNMENT PRINTING OFFICE WASHINGTON : 1962 : .'.'1 ' ...","","1962-01-08"
"163","Congressional Committee Prints","CPRT-86SPRT56125","CPRT-86SPRT56125","United States foreign policy: Middle East: Staff study.","https://www.govinfo.gov/app/details/CPRT-86SPRT56125/CPRT-86SPRT56125","https://www.govinfo.gov/content/pkg/CPRT-86SPRT56125/pdf/CPRT-86SPRT56125.pdf","","","","","s ,1 jut COMMITTEE ON FOREIGN RELATIONS UNITED STATES SENATE - I . Ot'Q r 3 (Pursuant to S. Res. 336, 85th Cong., and S. Res. 31 and S. Res. 250, 86th Cong.) No. 13 JUNE 9, 1960 Printed for the use of the Committee on Foreign Relations UNITED STATES GOVERNMENT PRINTING OFFICE WASHINGTON : 1960 COMMITTEE ON FOREIGN RELATIONS J. W. FULBRIGHT, ...","","1960-06-09"
"164","Congressional Committee Prints","CPRT-111SPRT67668","CPRT-111SPRT67668","LEGISLATIVE CALENDAR (CUMULATIVE RECORD)","https://www.govinfo.gov/app/details/CPRT-111SPRT67668/CPRT-111SPRT67668","https://www.govinfo.gov/content/pkg/CPRT-111SPRT67668/pdf/CPRT-111SPRT67668.pdf","https://www.govinfo.gov/content/pkg/CPRT-111SPRT67668/html/CPRT-111SPRT67668.htm","","",""," 6, 2009 FIRST SESSION Adjourned December 24, 2009 Convened January 5, 2010 SECOND SESSION Adjourned December 22, 2010 67-668 PDF U.S. GOVERNMENT PRINTING OFFICE: 2011 COMMITTEE ON FOREIGN RELATIONS one hundred eleventh congress JOHN F. KERRY, Massachusetts, Chairman CHRISTOPHER J. DODD, Connecticut RICHARD G. LUGAR, Indiana RUSSELL D. ...","","2010-12-22"
"165","Congressional Committee Prints","CPRT-113SPRT23537","CPRT-113SPRT23537","Legislative Calendar (Cumulative Record) of the One Hundred Thirteenth Congress","https://www.govinfo.gov/app/details/CPRT-113SPRT23537/CPRT-113SPRT23537","https://www.govinfo.gov/content/pkg/CPRT-113SPRT23537/pdf/CPRT-113SPRT23537.pdf","https://www.govinfo.gov/content/pkg/CPRT-113SPRT23537/html/CPRT-113SPRT23537.htm","","",""," January FIRST SESSION { Adjourned January 3, 2014 SECOND SESSION { Convened January 3, 2014 { Adjourned December 16, 2014 [GRAPHIC(S) NOT AVAILABLE IN TIFF FORMAT] December 28, 2016 23-537 PDF U.S. GOVERNMENT PUBLISHING OFFICE: 2017 COMMITTEE ON FOREIGN RELATIONS ONE HUNDRED THIRTEENTH CONGRESS [Membership from January 3, 2013 until January 24, ...","","2016-12-28"
"166","Congressional Committee Prints","CPRT-112SPRT80350","CPRT-112SPRT80350","LEGISLATIVE CALENDAR (CUMULATIVE RECORD)","https://www.govinfo.gov/app/details/CPRT-112SPRT80350/CPRT-112SPRT80350","https://www.govinfo.gov/content/pkg/CPRT-112SPRT80350/pdf/CPRT-112SPRT80350.pdf","https://www.govinfo.gov/content/pkg/CPRT-112SPRT80350/html/CPRT-112SPRT80350.htm","","",""," { Convened January 5, 2011 { Adjourned January 3, 2012 SECOND SESSION { Convened January 3, 2012 { Adjourned January 3, 2013 [GRAPHIC(S) NOT AVAILABLE IN TIFF FORMAT] January 4, 2013 80-350 PDF (STAR PRINT) U.S. GOVERNMENT PRINTING OFFICE: 2013 COMMITTEE ON FOREIGN RELATIONS -------- ONE HUNDRED TWELFTH CONGRESS JOHN F. KERRY, Chairman BARBARA ...","","2013-01-04"
"167","Congressional Committee Prints","CPRT-110SPRT55048","CPRT-110SPRT55048","LEGISLATIVE CALENDAR (CUMULATIVE RECORD)","https://www.govinfo.gov/app/details/CPRT-110SPRT55048/CPRT-110SPRT55048","https://www.govinfo.gov/content/pkg/CPRT-110SPRT55048/pdf/CPRT-110SPRT55048.pdf","https://www.govinfo.gov/content/pkg/CPRT-110SPRT55048/html/CPRT-110SPRT55048.htm","","",""," 4, 2007 FIRST SESSION Adjourned December 31, 2007 Convened January 3, 2008 SECOND SESSION Adjourned January 2, 2009 [GRAPHIC(S) NOT AVAILABLE IN TIFF FORMAT] 55-048 PDF U.S. GOVERNMENT PRINTING OFFICE: 2010 COMMITTEE ON FOREIGN RELATIONS one hundred tenth congress JOSEPH R. BIDEN, JR., Delaware, Chairman CHRISTOPHER J. DODD, Connecticut RICHARD ...","","2009-01-02"
"168","Congressional Committee Prints","CPRT-110JPRT38274","CPRT-110JPRT38274","ANNUAL REPORT ON INTERNATIONAL RELIGIOUS FREEDOM 2006","https://www.govinfo.gov/app/details/CPRT-110JPRT38274/CPRT-110JPRT38274","https://www.govinfo.gov/content/pkg/CPRT-110JPRT38274/pdf/CPRT-110JPRT38274.pdf","https://www.govinfo.gov/content/pkg/CPRT-110JPRT38274/html/CPRT-110JPRT38274.htm","","",""," ON FOREIGN RELATIONS OF THE U.S. SENATE AND THE COMMITTEE ON INTERNATIONAL RELATIONS OF THE U.S. HOUSE OF REPRESENTATIVES BY THE DEPARTMENT OF STATE IN ACCORDANCE WITH SECTION 102 OF THE INTERNATIONAL RELIGIOUS FREEDOM ACT OF 1998 Available via World Wide Web: http://www.access.gpo.gov/congress/senate U.S. GOVERNMENT PRINTING OFFICE 38-274 ...","","2008-01-01"
"169","Congressional Committee Prints","CPRT-110SPRT31436","CPRT-110SPRT31436","EXECUTIVE SESSIONS OF THE SENATE FOREIGN RELATIONS COMMITTEE TOGETHER WITH JOINT SESSIONS WITH THE SENATE ARMED SERVICES COMMITTEE (HISTORICAL SERIES)","https://www.govinfo.gov/app/details/CPRT-110SPRT31436/CPRT-110SPRT31436","https://www.govinfo.gov/content/pkg/CPRT-110SPRT31436/pdf/CPRT-110SPRT31436.pdf","https://www.govinfo.gov/content/pkg/CPRT-110SPRT31436/html/CPRT-110SPRT31436.htm","","",""," SERIES) VOLUME XIX NINETIETH CONGRESS first session 1967 MADE PUBLIC 2007 Printed for the use of the Committee on Foreign Relations U.S. GOVERNMENT PRINTING OFFICE 31-436 PDF WASHINGTON : 2007 For sale by Superintendent of Documents, U.S. Government Printing Office Internet: bookstore.gpo.gov Phone: toll free (866) 512-1800; DC area (202) ...","","2008-01-01"
"170","Congressional Committee Prints","CPRT-118SPRT50858","CPRT-118SPRT50858","MEMBERSHIP AND JURISDICTION OF SUBCOMMITTEES","https://www.govinfo.gov/app/details/CPRT-118SPRT50858/CPRT-118SPRT50858","https://www.govinfo.gov/content/pkg/CPRT-118SPRT50858/pdf/CPRT-118SPRT50858.pdf","https://www.govinfo.gov/content/pkg/CPRT-118SPRT50858/html/CPRT-118SPRT50858.htm","","",""," SENATE [GRAPHIC(S) NOT AVAILABLE IN TIFF FORMAT] FEBRUARY 2023 Printed for the use of the Committee on Foreign Relations U.S. GOVERNMENT PUBLISHING OFFICE 50-858 PDF WASHINGTON : 2023 COMMITTEE ON FOREIGN RELATIONS ROBERT MENENDEZ, New Jersey, Chairman BENJAMINI L. CARDIN, Maryland JAMES E. RISCH, Idaho JEANNE SHAHEEN, New Hampshire MARCO ...","","2023-02-01"
"171","Congressional Committee Prints","CPRT-117SPRT47711","CPRT-117SPRT47711","MEMBERSHIP AND JURISDICTION OF SUBCOMMITTEES","https://www.govinfo.gov/app/details/CPRT-117SPRT47711/CPRT-117SPRT47711","https://www.govinfo.gov/content/pkg/CPRT-117SPRT47711/pdf/CPRT-117SPRT47711.pdf","https://www.govinfo.gov/content/pkg/CPRT-117SPRT47711/html/CPRT-117SPRT47711.htm","","",""," SENATE [GRAPHIC(S) NOT AVAILABLE IN TIFF FORMAT] JUNE 2022 Printed for the use of the Committee on Foreign Relations ______ U.S. GOVERNMENT PUBLISHING OFFICE 47-711 PDF WASHINGTON : 2022 COMMITTEE ON FOREIGN RELATIONS ROBERT MENENDEZ, New Jersey, Chairman BENJAMIN L. CARDIN,Maryland JAMES E. RISCH, Idaho JEANNE SHAHEEN, New Hampshire MARCO ...","","2022-06-01"
"172","Congressional Committee Prints","CPRT-116SPRT42356","CPRT-116SPRT42356","THE NEW BIG BROTHER--CHINA AND DIGITAL AUTHORITARIANISM","https://www.govinfo.gov/app/details/CPRT-116SPRT42356/CPRT-116SPRT42356","https://www.govinfo.gov/content/pkg/CPRT-116SPRT42356/pdf/CPRT-116SPRT42356.pdf","https://www.govinfo.gov/content/pkg/CPRT-116SPRT42356/html/CPRT-116SPRT42356.htm","","",""," FOR THE USE OF THE COMMITTEE ON FOREIGN RELATIONS UNITED STATES SENATE One Hundred Sixteenth Congress SECOND SESSION July 21, 2020 [GRAPHIC(S) NOT AVAILABLE IN TIFF FORMAT] Printed for the use of the Committee on Foreign Relations Available via World Wide Web: http://www.govinfo.gov ______ U.S. GOVERNMENT PUBLISHING OFFICE 42-356 PDF ...","","2020-07-21"
"173","Congressional Committee Prints","CPRT-115SPRT28856","CPRT-115SPRT28856","MEMBERSHIP AND JURISDICTION OF SUBCOMMITTEES","https://www.govinfo.gov/app/details/CPRT-115SPRT28856/CPRT-115SPRT28856","https://www.govinfo.gov/content/pkg/CPRT-115SPRT28856/pdf/CPRT-115SPRT28856.pdf","https://www.govinfo.gov/content/pkg/CPRT-115SPRT28856/html/CPRT-115SPRT28856.htm","","",""," SENATE [GRAPHIC(S) NOT AVAILABLE IN TIFF FORMAT] MARCH 2018 Printed for the use of the Committee on Foreign Relations ______ U.S. GOVERNMENT PUBLISHING OFFICE 28-856 PDF WASHINGTON : 2018 For sale by the Superintendent of Documents, U.S. Government Publishing Office Internet: bookstore.gpo.gov Phone: toll free (866) 512-1800; DC area (202) ...","","2018-03-01"
"174","Congressional Committee Prints","CPRT-115SPRT23703","CPRT-115SPRT23703","MEMBERSHIP AND JURISDICTION OF SUBCOMMITTEES","https://www.govinfo.gov/app/details/CPRT-115SPRT23703/CPRT-115SPRT23703","https://www.govinfo.gov/content/pkg/CPRT-115SPRT23703/pdf/CPRT-115SPRT23703.pdf","https://www.govinfo.gov/content/pkg/CPRT-115SPRT23703/html/CPRT-115SPRT23703.htm","","",""," SENATE [GRAPHIC(S) NOT AVAILABLE IN TIFF FORMAT] JANUARY 2017 Printed for the use of the Committee on Foreign Relations ________ U.S. GOVERNMENT PUBLISHING OFFICE 23-703 PDF WASHINGTON : 2017 For sale by the Superintendent of Documents, U.S. Government Publishing Office, Internet:bookstore.gpo.gov. Phone:toll free (866)512-1800;DC area (202)...","","2017-01-01"
"175","Congressional Committee Prints","CPRT-115SPRT23703","CPRT-115SPRT23703-Errata","MEMBERSHIP AND JURISDICTION OF SUBCOMMITTEES","https://www.govinfo.gov/app/details/CPRT-115SPRT23703/CPRT-115SPRT23703-Errata","https://www.govinfo.gov/content/pkg/CPRT-115SPRT23703/pdf/CPRT-115SPRT23703-Errata.pdf","https://www.govinfo.gov/content/pkg/CPRT-115SPRT23703/html/CPRT-115SPRT23703-Errata.htm","","","","UNITED STATES SENATE [GRAPHIC NOT AVAILABLE IN TIFF FORMAT] JANUARY 2017 Printed for the use of the Committee on Foreign Relations U.S. GOVERNMENT PUBLISHING OFFICE WASHINGTON : 2017 For sale by the Superintendent of Documents, U.S. Government Publishing Office, http://bookstore.gpo.gov. For more information, contact the GPO Customer Contact Center...","","2017-01-01"
"176","Congressional Committee Prints","CPRT-113SPRT82270","CPRT-113SPRT82270","MEMBERSHIP AND JURISDICTION OF SUBCOMMITTEES","https://www.govinfo.gov/app/details/CPRT-113SPRT82270/CPRT-113SPRT82270","https://www.govinfo.gov/content/pkg/CPRT-113SPRT82270/pdf/CPRT-113SPRT82270.pdf","https://www.govinfo.gov/content/pkg/CPRT-113SPRT82270/html/CPRT-113SPRT82270.htm","","",""," SENATE [GRAPHIC(S) NOT AVAILABLE IN TIFF FORMAT] APRIL 2014 Printed for the use of the Committee on Foreign Relations _____ U.S. GOVERNMENT PRINTING OFFICE 82-270 PDF WASHINGTON : 2014 For sale by the Superintendent of Documents, U.S. Government Printing Office Internet: bookstore.gpo.gov Phone: toll free (866) 512-1800; DC area (202) 512-...","","2014-04-01"
"177","Congressional Committee Prints","CPRT-112SPRT77221","CPRT-112SPRT77221","ENERGY AND SECURITY FROM THE CASPIAN TO EUROPE","https://www.govinfo.gov/app/details/CPRT-112SPRT77221/CPRT-112SPRT77221","https://www.govinfo.gov/content/pkg/CPRT-112SPRT77221/pdf/CPRT-112SPRT77221.pdf","https://www.govinfo.gov/content/pkg/CPRT-112SPRT77221/html/CPRT-112SPRT77221.htm","","","","THE USE OF THE COMMITTEE ON FOREIGN RELATIONS UNITED STATES SENATE One Hundred Twelfth Congress Second Session December 12, 2012 Printed for the use of the Committee on Foreign Relations Available via World Wide Web: http://www.gpo.gov/fdsys/ _____ U.S. GOVERNMENT PRINTING OFFICE 77-221 PDF WASHINGTON : 2012 For sale by the Superintendent of ...","","2012-12-12"
"178","Congressional Committee Prints","CPRT-112SPRT74162","CPRT-112SPRT74162","IRAQ REPORT: POLITICAL FRAGMENTATION AND CORRUPTION STYMIE ECONOMIC GROWTH AND POLITICAL PROGRESS","https://www.govinfo.gov/app/details/CPRT-112SPRT74162/CPRT-112SPRT74162","https://www.govinfo.gov/content/pkg/CPRT-112SPRT74162/pdf/CPRT-112SPRT74162.pdf","https://www.govinfo.gov/content/pkg/CPRT-112SPRT74162/html/CPRT-112SPRT74162.htm","","",""," PROGRESS A MINORITY STAFF TRIP REPORT TO THE COMMITTEE ON FOREIGN RELATIONS UNITED STATES SENATE One Hundred Twelfth Congress Second Session April 30, 2012 [GRAPHIC(S) NOT AVAILABLE IN TIFF FORMAT] Printed for the use of the Committee on Foreign Relations Available via World Wide Web: http://www.gpo.gov/fdsys/ ----- U.S. GOVERNMENT PRINTING ...","","2012-04-30"
"179","Congressional Committee Prints","CPRT-112SPRT68115","CPRT-112SPRT68115","ENHANCING NON-PROLIFERATION PARTNERSHIPS IN THE BLACK SEA REGION","https://www.govinfo.gov/app/details/CPRT-112SPRT68115/CPRT-112SPRT68115","https://www.govinfo.gov/content/pkg/CPRT-112SPRT68115/pdf/CPRT-112SPRT68115.pdf","https://www.govinfo.gov/content/pkg/CPRT-112SPRT68115/html/CPRT-112SPRT68115.htm","","",""," FOR THE USE OF THE COMMITTEE ON FOREIGN RELATIONS UNITED STATES SENATE One Hundred Twelfth Congress First Session September 27, 2011 U.S. GOVERNMENT PRINTING OFFICE 68-115 WASHINGTON : 2011 For sale by the Superintendent of Documents, U.S. Government Printing Office Internet: bookstore.gpo.gov Phone: toll free (866) 512-1800; DC area (202) ...","","2011-09-27"
"180","Congressional Committee Prints","CPRT-112SPRT66591","CPRT-112SPRT66591","EVALUATING U.S. FOREIGN ASSISTANCE TO AFGHANISTAN","https://www.govinfo.gov/app/details/CPRT-112SPRT66591/CPRT-112SPRT66591","https://www.govinfo.gov/content/pkg/CPRT-112SPRT66591/pdf/CPRT-112SPRT66591.pdf","https://www.govinfo.gov/content/pkg/CPRT-112SPRT66591/html/CPRT-112SPRT66591.htm","","","","USE OF THE COMMITTEE ON FOREIGN RELATIONS UNITED STATES SENATE One Hundred Twelfth Congress First Session June 8, 2011 U.S. GOVERNMENT PRINTING OFFICE 66-591 WASHINGTON : 2011 For sale by the Superintendent of Documents, U.S. Government Printing Office, http://bookstore.gpo.gov. For more information, contact the GPO Customer Contact Center, U.S. ...","","2011-06-08"
